Accession	Submission Date	Title	Number of Raw Files
PXD029794	2021-11-18	Profiling of protein interactions of the circRNA cZNF292 in endothelial cells	16
PXD025194	2021-04-06	RNA-interactome capture in human embryonic stem cells (hESCs)	16
PXD035591	2022-07-25	Structural surfaceomics of Nomo-1 using PhoX cross-linker with timsTOF	16
PXD038052	2022-11-08	Interactome of Drosophila Cryptochrome in Drosophila S2 cell line	16
PXD046754	2023-11-07	Lipopolysaccharide-induced changes in the RNA-binding proteome of mouse macrophages	16
PXD037894	2022-11-03	Chemical proteomics with novel fully functionalized fragments and stringent target prioritization identifies the glutathione-dependent isomerase GSTZ1 as a lung cancer target: SuTEx of GSTZ1 KD	16
PXD036149	2022-08-18	Structure of Saccharomyces cerevisiae Mediator-RNA polymerase II pre-initiation complex for divergent transcription	16
PXD032976	2022-04-03	ProteasomeID: quantitative mapping of proteasome interactomes and substrates for in vitro and in vivo studies	16
PXD044885	2023-08-26	Label-free quantitative data dependent (DDA) nano-LC-MS/MS analysis of proteomic changes in the mesenteric lymph harvested from healthy (control) and DSS-fed mice models of colitis	16
PXD040864	2023-03-14	Mitochondrial interactome quantitation with dead-end peptides in failing murine heart	16
PXD026696	2021-06-14	Investigation of interaction of p97, p37,  PPI, SDS22 and Inhibitor-3 using cross-linking mass spectrometry (CL-MS)	16
PXD049681	2024-02-19	Distinct interactomes of ADAR1 nuclear and cytoplasmic protein isoforms and their responses to Interferon induction	16
PXD050928	2024-03-24	Identification of Bik1 XL peptides (DSS)	16
PXD053999	2024-07-17	The sodium leak channel NALCN is regulated by the neuronal SNARE complex	16
PXD060912	2025-02-18	Proximity proteomics reveals a mechanism of fatty acid transfer at lipid droplet-mitochondria- endoplasmic reticulum contact sites	16
PXD055722	2024-09-09	Photoactivated SOPP3 enables APEX2-mediated proximity labeling with high spatio-temporal resolution in live cells	16
PXD058335	2024-11-27	CEPD/ROXY6-9 proteins activate N starvation response genes by interfering with the repressive activity of transcription factors TGA1 and TGA4	16
PXD058480	2024-12-02	Elongator is a microtubule polymerase selective for poly-glutamylated tubulin: ELP456 to Tubulin crosslinking	16
PXD061687	2025-03-11	Dataset 2: APEX2-p62 global proxitome proteomics with WT and 3/3	16
PXD063981	2025-05-15	Activation of an initiating phosphoglycosyl transferase by a single-domain response regulator	16
PXD064792	2025-06-09	Analysis of a BCOR internal tandem duplication in mouse embryonic stem cell to neuronal precursor differentiation	16
PXD065739	2025-07-03	A Proximity dependent labeling approach to define flotillin-2 interacting proteins within Membrane Domains of HeLa cells	16
PXD064535	2025-06-03	Defining mechanisms of multifunctionality in the rabies virus P protein: key roles of conformational diversity and RNA interaction in forming host interfaces	16
PXD059716	2025-01-13	Proteomics of tau repeat domain interactome via split TurboID proximity labeling	16
PXD066874	2025-08-02	Proteomics of tau repeat domain interactome via split TurboID proximity labeling in neuronal cells	16
PXD051298	2024-04-09	Developmental regulation of Erk signaling by mitotic kinases	16
PXD003917	2016-04-06	Proteome analysis of subcellular fractions of HeLa cells	15
PXD003737	2016-03-03	An optimised fragmentation regime for cross-linking/mass spectrometry	15
PXD001835	2015-02-23	3D topology of the SMC2/SMC4 sub-complex from chicken condensin I revealed by cross-linking and molecular modelling	15
PXD002169	2015-05-12	Fixated rat liver tissue -  Cleavable crosslinkers as tissue fixation reagents for proteomic analysis	15
PXD012109	2018-12-19	pLink 2: A high-speed search engine with systematic evaluation for proteome-scale identification of cross-linked peptides	15
PXD012370	2019-01-16	A folded conformation of MukBEF and Cohesin	15
PXD012753	2019-02-18	Young, old, OVX mouse Skin LC-MSMS, 3M Urea extraction	15
PXD017299	2020-01-28	Influence of cross-linker polarity on selectivity towards lysine side chains	15
PXD014426	2019-06-28	ZapE/Afg1 is Oxa1-dependent regulator of respiratory complexes in trypanosomes	15
PXD021872	2020-10-07	Chemical-crosslinking of SurA with DSBU to unfolded Omps (OmpA and OmpX)	15
PXD024301	2021-02-22	Molecular basis of F-actin regulation and sarcomere assembly via myotilin	15
PXD020165	2020-07-03	Using BioID2 to map domain specific Ku70 protein interactors	15
PXD021822	2020-10-05	Identification of proteins in the interactomes of 4 DNA-repair proteins of Deinococcus radiodurans	15
PXD019048	2020-05-08	A2M-3K DSSO cross-linking to identify the bait region position	15
PXD021126	2020-08-26	Structural analysis of the PTEN:P-Rex2 signaling node reveals how cancer-associated mutations coordinate to hyperactivate Rac1	15
PXD036107	2022-08-16	Systematic mutagenesis of TFIIH subunit p52/Tfb2 identifies residues required for XPB/Ssl2 subunit function and genetic interactions with TFB6	15
PXD037049	2022-09-27	Biochemically validated structural model of the 15-subunit intraflagellar transport complex IFT-B	15
PXD033748	2022-05-06	Biochemical and structural insights into SARS-CoV-2 polyprotein processing by Mpro (XL-MS)	15
PXD029944	2021-11-26	Identification of protein-protein interaction mediated by N-myristoylated proteins using photocrosslinkable clickable myristoylation probes X3 and X10	15
PXD036182	2022-08-21	In vivo proximity labeling identifies the interactome of the endoribonuclease Zucchini in Drosophila ovary.	15
PXD025581	2021-04-23	Screening for Ku70 phosphoS155-dependent proximal proteins	15
PXD042224	2023-05-15	Quantitative ChIP-MS analysis of histone modifications present on H3K4me1- and H3K4me3-enriched mono-nucleosomes purified from crosslinked IMR-90 cells	15
PXD041378	2023-04-06	APEX proximity labeling of murine NDUFS4 interacting proteins in podocytes	15
PXD041679	2023-04-20	Transcription-coupled DNA-Protein Crosslink repair by CSB and  CRL4(CSA)-mediated degradation	15
PXD043347	2023-06-27	Epitope and Paratope Mapping of TNFα/Infliximab complex by cross-linking mass spectrometry and integrative modeling reveals high level of interaction specificity	15
PXD042697	2023-06-02	Ubiquitin-specific proximity labeling for the identification of E3 ubiquitin ligase substrates	15
PXD036885	2022-09-21	De novo protein identification in mammalian sperm using high-resolution in situ cryo-electron tomography	15
PXD040690	2023-03-08	Proximity labeling – LC/MS-MS with SCRM-TbID in A. thaliana seedlings	15
PXD054760	2024-08-09	The USP12/46 deubiquitinases protect integrins from ESCRT-mediated lysosomal degradation	15
PXD052801	2024-06-03	Combining quantitative proteomics and interactomics for a deeper insight into molecular differences between human cell lines	15
PXD026196	2021-05-21	BioID-screening reveals the Alk “proximitome” of the Drosophila brain	15
PXD065516	2025-06-26	Cryo-EM structures of the Plant Augmin reveal its intertwined coiled-coil assembly, antiparallel dimerization and NEDD1 binding mechanisms	15
PXD003532	2016-01-27	Proteomic Analysis of Loricrin Knockout Mouse Epidermis IBAQ	14
PXD005786	2017-01-26	Oncogenic BRD4-NUT protein interactions	14
PXD005948	2017-02-22	Yeast SWI/SNF complex -  Loss of Snf5 Induces Formation of an Aberrant SWI/SNF Complex	14
PXD015212	2019-08-29	Co-immunoprecipitation of FAMA-interacting proteins in Arabidopsis thaliana seedlings	14
PXD015682	2020-03-11	Characterization of Integrator module INTS10-INTS13-INTS14 and its connection to the cleavage module Part I	14
PXD021761	2020-09-30	Structural basis for heme-dependent NCoR binding to the transcriptional repressor REV-ERBβ	14
PXD024361	2021-02-24	Proteomic profiling of the ciliary Hedgehog response reveals coordinated exit of GPR161 and PKA	14
PXD020453	2020-07-20	Structural insights into Cullin4-RING ubiquitin ligase remodelling by Vpr from simian immunodeficiency viruses	14
PXD025141	2021-04-01	Dynamic tracking and identification of tissue-specific secretory proteins in the circulation of live mice	14
PXD031540	2022-02-09	Indentification of RecBCD Auxiliary ATP binding	14
PXD030366	2021-12-13	ANR DeepProt : A structural analysis of heated Ovalbumin by crosslink proteomics	14
PXD024946	2021-03-23	TRIM72 cross-linked by the higher-order assembly on the negatively charged liposome surface	14
PXD045837	2023-09-30	Structural mechanisms of  autoinhibition and substrate recognition  by the ubiquitin ligase HACE1	14
PXD051693	2024-04-24	Single electron transfer between sulfonium and tryptophan enables site-selective photo crosslinking of methyllysine reader proteins	14
PXD059558	2025-01-08	PfFBXO1 is essential for inner membrane complex formation in Plasmodium falciparum during both asexual and transmission stages	14
PXD025903	2021-05-09	Trifunctional PIP3 binder identification	14
PXD058529	2024-12-03	Structure of human PINK1 at a mitochondrial TOM/VDAC array	14
PXD063033	2025-04-16	Design and Characterisation of Photoactivatable and Lysine Reactive Ortho Nitrobenzyl Alcohol-Based Crosslinkers	14
PXD048174	2023-12-30	Mapping the lipid droplet proteome by using proximity labeling in ccRCC cell lines	14
PXD053832	2024-07-10	Proteomics analysis of lipid droplets proteins in ccRCC cells	14
PXD060867	2025-02-17	Dissecting the RAD51–BRC4 Interaction Landscape through Integrative Molecular Simulations and Experimental Biophysics	14
PXD063786	2025-05-09	Structural analysis of the CSN complex to understand its inhibition mechanism	14
PXD003673	2017-09-01	Differential Enzymatic 16O/18O Labelling for the Detection of Cross-Linked Nucleic Acid-Protein Heteroconjugates	13
PXD010122	2018-06-14	Human pBAF complex (HA-BRD7, PHF10-HA pulldown)	13
PXD015479	2019-09-17	LC-MSMS of cell secretome for MAP1LC3B interactors	13
PXD017128	2020-01-15	Synaptamide activates the adhesion GPCR GPR110 through conformational changes induced by GAIN domain binding	13
PXD019484	2020-06-01	Mitochondrial protein interaction landscape of SS-31	13
PXD011775	2018-11-21	An Mtw1 C terminal motif is cruical for cooperative outer kinetochore assembly in budding yeast	13
PXD021434	2020-09-11	K562 cell lime LC-MSMS,Quantitative measurement of hydrophobicity dependent LLPS property of chromatin condensate	13
PXD036262	2022-08-25	Proximity labeling via MLF2-APEX2 fusion	13
PXD042674	2023-06-02	Ubiquitin-specific proximity labeling for the identification of E3 ubiquitin ligase substrates	13
PXD040156	2023-02-16	Deciphering the interaction between TopBP1 and GINS using crosslinking mass spectrometry	13
PXD065958	2025-07-09	Expanding the crosslinking mass spectrometry toolbox with vinyl sulfone crosslinkers	13
PXD065961	2025-07-09	Expanding the crosslinking mass spectrometry toolbox with vinyl sulfone crosslinkers	13
PXD006255	2017-04-04	Rapid processing of archival tissue samples for proteomic analysis using pressure-cycling technology	12
PXD002707	2015-08-12	LC-MS/MS analysis of IαI proteoglycopeptides	12
PXD003788	2016-06-20	Temporal regulation of Lsp1 O-GlcNAcylation and phosphorylation duringactivated Bcellsapoptosis	12
PXD013194	2019-03-22	Proximity proteomics of endothelial Weibel-Palade bodies identifies novel regulator of VWF secretion	12
PXD003171	2015-11-10	Host-microbiota interactions in the pathogenesis of antibiotic-associated diseases: DSS	12
PXD004183	2016-05-19	Identification of Plasmodium yoelii ALBA4 Binding partners by Immunoprecipitation/nano LC-MS/MS	12
PXD005201	2016-10-21	Analysis of the cilia membrane proteome by cmAPEX	12
PXD005676	2017-01-09	Architecture of TAF11/TAF13/TBP complex suggests novel regulatory state of human general transcription factor TFIID	12
PXD007185	2017-08-03	Neuropilin-2 (NRP2) is the receptor for human cytomegalovirus (HCMV) pentameric complex and is responsible for HCMV infection	12
PXD009239	2018-03-16	Two faces of an essential PknB substrate in mycobacteria	12
PXD010123	2018-06-14	Drosophila BAF complex crosslinking (	12
PXD014067	2019-05-29	Comprehensive detection of isopeptides between human tissue transglutaminase and gluten peptides using a reciprocal proteomic approach	12
PXD013470	2019-04-12	CryoEM Structures of Arabidopsis DDR Complexes Involved in RNA-directed DNA Methylation	12
PXD019156	2020-05-13	MCM8IP activates the MCM8-9 helicase to promote DNA synthesis and homologous recombination upon DNA damage	12
PXD012427	2019-01-18	Altered Domain Structure of the Prion Protein Caused by Cu2+ Binding and Functionally Relevant Mutations: Analysis by Cross‐Linking, MS/MS, and NMR	12
PXD020119	2020-06-30	Chemical Proteomics Tracks Virus Entry and Uncovers NCAM1 As Zika Virus Receptor	12
PXD020339	2020-07-14	Integrative Vectors for Regulated Expression of SARS-CoV-2 Proteins Implicated in RNA Metabolism	12
PXD022023	2020-10-16	FAX-RIC enables robust RNA interactome profiling in multicellular organisms in vivo	12
PXD017868	2020-03-04	Systematic discovery of Short Linear Motifs decodes calcineurin phosphatase signaling	12
PXD020042	2020-06-26	An Undesirable Side Effect of EDC-catalyzed Carboxyl Labeling Approach	12
PXD016196	2019-11-08	Purified Smc5/6 complex exhibits DNA substrate recognition and compaction	12
PXD023022	2020-12-09	Molecular architecture of the endocytic TPLATE complex – part1 TAP/BS3 cross-linking dataset	12
PXD024367	2021-02-24	Proteomic profiling of the ciliary Hedgehog response reveals coordinated exit of GPR161 and PKA	12
PXD005943	2017-02-21	Saccharomyces cerevisiae mRBPome in oxidative stress conditions	12
PXD026935	2021-06-25	CX-MS of Phospho-regulated Bim1/EB1 interactions trigger Dam1c ring assembly at the budding yeast outer kinetochore	12
PXD023072	2020-12-11	Notch-Jagged signaling complex defined by an interaction mosaic	12
PXD026926	2021-06-25	Interactome of a TurboID-tagged BRD9 in the presence or absence of IFN-a2	12
PXD019428	2020-05-28	Identification of interacting proteins of Pdcd7 (U11-59K)	12
PXD021770	2020-10-01	Identification of proximal SUMO-dependent interactors using SUMO-ID	12
PXD020340	2020-07-14	Chemical genetics and proteome-wide site mapping reveal cysteine MARylation by PARP-7 on immune-relevant protein targets	12
PXD029091	2021-10-12	A genetically-encoded crosslinker screen identifies SERBP1 as a PKC substrate influencing translation and cell division	12
PXD029289	2021-10-22	Mass spectrometric identification of antimicrobial peptides from medicinal seeds	12
PXD028313	2021-09-09	HAP40 orchestrates huntingtin structure for differential interaction with polyglutamine expanded exon 1	12
PXD030569	2021-12-21	Enhancer RNAs stimulate Pol II pause release by harnessing multivalent interactions to NELF	12
PXD029960	2021-11-26	Investigating the interactome of TurboID-tagged RABGAP1L in the presence or absence of IFNa2 by proximity labeling proteomics	12
PXD023368	2021-12-16	Global mapping of RNA-binding proteins in multi-drug resistant Staphylococcus aureus using 2C_1	12
PXD023414	2021-12-16	Global mapping of RNA-binding proteins in multi-drug resistant Staphylococcus aureus using PTex	12
PXD023593	2021-01-14	Structural analysis of neurofibromin by crosslinking mass spectrometry	12
PXD031421	2022-02-03	Structure and molecular assembly of a MuvB transcription factor complex with the nucleosome	12
PXD034627	2022-06-17	An Unexpected Encounter: Respiratory Syncytial Virus Non-Structural Protein 1 Interacts With Mediator Subunit MED25	12
PXD028415	2021-09-09	HAP40 orchestrates huntingtin structure for differential interaction with polyglutamine expanded exon 1	12
PXD034639	2022-06-19	An improved TurboID-based proximity labeling pipeline in C. elegans by biochemical depletion of endogenously biotinylated carboxylases	12
PXD037432	2022-10-14	Proximity labelling with TurboID shows that client proteins of PML NBs differ in three cell contexts	12
PXD032763	2022-03-23	- The STAR assay: A new sensitive, selective, and versatile method for isolation of DNA-protein crosslinks	12
PXD035668	2022-08-01	Disordered region encodes α-crystallin chaperone activity toward lens client γD-crystallin	12
PXD036113	2022-08-16	Proximity labeling facilitates defining neighborhood proteome of photosystem II oxygen evolution complex in a model cyanobacterium	12
PXD038629	2022-12-07	Selennoprotein S interacts with the replication and transcription complex of the SARS-CoV-2 by binding nsp7	12
PXD026603	2021-06-10	XL-MS Analysis of Recombinant GPR158:RGS7:Gb5 Complex in Detergent Micelles	12
PXD035576	2022-07-25	Systematic mutagenesis identifies p52/Tfb2 residues required for XPB/Ssl2 function within TFIIH and genetic interactions with TFB6	12
PXD037438	2022-10-14	A hybrid structural determination approach to investigate protein-RNA complexes of the nucleocapsid protein of SARS-CoV-2	12
PXD030849	2022-01-09	Cullin-independent recognition of HHARI substrates by a dynamic RBR catalytic domain	12
PXD042123	2023-05-10	A Spatiotemporal Notch Interaction Map from Membrane to Nucleus	12
PXD044574	2023-08-14	Kv2.1 IP dataset On_BeadMK8_2018	12
PXD039289	2023-01-05	Conformational coupling of redox-driven Na+ translocation in Vibrio cholerae NADH:quinone oxidoreductase	12
PXD031782	2022-02-21	Label-free quantitative (LFQ) proteomic analysis of redox mediated posttranslational modifications (PTM) in the cartilage from young and old osteoarthritis (OA) mice with or without the senolytic treatment	12
PXD035813	2022-08-04	A Proximity Labeling Strategy Provides Insights into the Composition and Dynamics of mitochondria-lipid droplet contact proteomes	12
PXD035801	2022-08-04	A Proximity Labeling Strategy Enables Spatial Proteomic Analysis of Inter-organelle Membrane Contacts in Living Cells	12
PXD040939	2023-03-17	Combination of in-vivo proximity labeling and co-immunoprecipitation identifies the host target network of a tumor-inducing effector in the fungal maize pathogen Ustilago maydis	12
PXD031692	2022-02-15	Mmp14 is essential for circadian clock rhythmicity in fibroblasts	12
PXD034902	2022-06-26	Proteomic analysis of Dscc1 knockout mouse cells	12
PXD042826	2023-06-08	Quantitative ChIP-MS analysis of proteins associated with H3K4me1- and H3K4me3-enriched mono-nucleosomes purified from crosslinked IMR-90 cells	12
PXD041181	2023-03-29	STIM1 Translocation to The Nucleus Protects Cells from DNA Damage	12
PXD039489	2023-01-16	Thrombin activation of the factor XI dimer is a multi-staged process for each subunit	12
PXD043789	2023-07-14	BioID-proximity labeling of GATAD1 variants	12
PXD047929	2023-12-19	RAD18_RAD6_MAGEA4_Cross-linking_Mass_Spectrometry	12
PXD042706	2023-06-03	Ubiquitin-specific proximity labeling for the identification of E3 ubiquitin ligase substrates	12
PXD048298	2024-01-07	MAGE-A4 TCR-like antibody immunoprecipitation in A375 and A375 MAGE-A4 KO xenograft tissue	12
PXD035720	2022-08-02	The T6SSs of the entomopathogenic Photorhabdus laumondii revealed interbacterial competition and cross-link with diverse Photorhabdus-virulence mechanisms	12
PXD049182	2024-02-05	Proximity labeling of host factor ANXA3 in HCV infection reveals a novel LARP1 function in viral entry	12
PXD046634	2023-11-03	Analysis of conformational changes induced by binding of allosteric nanobodies to a bacterial LRRK2 homologue by CX-MS	12
PXD033008	2022-04-06	ProteasomeID: quantitative mapping of proteasome interactomes and substrates for in vitro and in vivo studies	12
PXD032833	2022-03-26	ProteasomeID: quantitative mapping of proteasome interactomes and substrates for in vitro and in vivo studies	12
PXD034965	2022-06-29	ProteasomeID: quantitative mapping of proteasome interactomes and substrates for in vitro and in vivo studies	12
PXD047277	2023-11-27	APEX2 mediated proximity labeling to investigate the proximal proteome of mitochondria tethered ULK1 in wild type and fip200 knock down cells	12
PXD054002	2024-07-17	A Nitrogen-specific Interactome Analysis Sheds Light on the Role of the SnRK1 and TOR Kinases in Plant Nitrogen Signaling - part2 kinase assay	12
PXD035939	2022-08-10	An isobaric quantitative crosslinking mass spectrometry technology for studying conformational and structural changes in proteins and protein complexes	12
PXD058168	2024-11-22	DSIF factor Spt5 coordinates transcription, maturation and exoribonucleolysis of RNA polymerase II transcripts	12
PXD058694	2024-12-09	Proteomic analysis of co-immunoprecipitation of MUC17(7TR) in Caco- cells using SILAC	12
PXD051557	2024-04-18	Proximity Labeling and Genetic Screening Reveals the Role of DSG2/Siglec-9 Axis in Suppressing Macrophage Phagocytosis	12
PXD047643	2023-12-08	Chromosome end protection by RAP1-mediated inhibition of DNA-PK	12
PXD051937	2024-05-02	APEX2-based proximity labelling of Staphylococcus aureus receptors on human lung microvascular endothelial cells	12
PXD061576	2025-03-07	Integrated proteome and lipidome analyses place OCIAD1 at mitochondria-peroxisome intersection balancing lipid metabolism	12
PXD054973	2024-08-17	Cross-linking mass spectrometry of DMXL1-mNG immunoprecipitated complex	12
PXD047543	2023-12-05	Next generation mapping of the salicylic acid signaling hub and transcriptional cascade	12
PXD055877	2024-09-16	Changes in Cereblon substrates landscape upon molecular glue treatment	12
PXD041504	2023-04-13	Neutrophil-derived PAD4 induces citrullination of CKMT1 in epithelial cells to exacerbate mucosal inflammation	12
PXD052584	2024-05-27	Cross-linking MS supporting: Structural stabilization of the intrinsically disordered SARS-CoV-2 N by binding to RNA sequences engineered from the viral genome	12
PXD063192	2025-04-22	Label-free LC-MS/MS analysis of proteins associated with expanded G4C2 hexanucleotide repeat-containing transcripts in human induced pluripotent stem cells	12
PXD063858	2025-05-12	Identification of TDP-43 - TAU interactions by XL-MS	12
PXD058764	2024-12-11	Nonuple atg8 mutant provides genetic evidence for functional specialization of ATG8 isoforms in Arabidopsis thaliana	12
PXD066655	2025-07-28	HeLa cell protein interactome of polyamine affinity-based probes (probe-modified peptides)	12
PXD059495	2025-01-07	Structural surfaceomics of myeloma models to identify tumor-specific protein conformations	12
PXD065782	2025-07-04	The multimerization pathway of the glucocorticoid receptor	12
PXD002656	2015-09-25	Dithiothreitol (DTT) acts as a specific, UV-inducible cross-linker in elucidation of protein-RNA interactions	11
PXD012377	2019-01-16	A folded conformation of MukBEF and Cohesin	11
PXD018106	2020-03-19	Crosslinking mass spectrometry analysis of 𝛾TuRC complex	11
PXD019017	2020-07-01	XL-MS analysis of AMPK activation loop accessibility regulation.	11
PXD026912	2021-06-24	MAD2L2 dimerization and TRIP13 control shieldin activity in DNA repair	11
PXD037183	2022-10-05	The structural basis for the self-inhibition of DNA binding by apo-σ70 - CLMS data	11
PXD034993	2022-06-30	A homozygous PPP1R21 splice variant associated with severe developmental delay, absence of speech and muscle weakness leads to activated proteasome function	11
PXD038398	2022-11-26	Translation-coupled sensing and degradation of RNA-protein crosslinks	11
PXD048180	2023-12-30	SRSF1 interactome determined by proximity labeling reveals direct interaction with spliceosomal RNA helicase DDX23	11
PXD053489	2024-06-28	PEX14 acts as a molecular link between optineurin and the autophagic machinery to induce pexophagy	11
PXD067296	2025-08-13	Regulation of ADP-ribosyltransferase activity by ART domain dimerization in PARP15	11
PXD059635	2025-01-10	Cross-linking and mass spectrometry analysis of Trypanosoma brucei proteins	11
PXD048145	2023-12-27	Intensity and retention time prediction improves the rescoring of protein-nucleic acid cross-links	11
PXD065870	2025-07-07	Expanding the crosslinking mass spectrometry toolbox with vinyl sulfone crosslinkers	11
PXD008868	2018-02-06	TRiC controls transcription resumption after UV damage by regulating Cockayne Syndrome protein A	10
PXD013063	2019-03-12	HeLa Cells Cross-Linked In Vivo versus as a Lysate	10
PXD001593	2014-12-10	Age-related cleavages of crystallins in human lens cortical fibre cells generate a plethora of low molecular weight peptides and cross-linked crystallin complexes	10
PXD006359	2017-04-24	Identification of Siglec ligands in human B cell	10
PXD009302	2018-03-23	Proximity labeling by a recombinant APEX2-FGF1 fusion protein reveals interaction of FGF1 with the proteoglycans CD44 and CSPG4	10
PXD011077	2018-09-13	Cross-ID: An Interactive Platform for in-depth Analysis and Visualization of Complex XL-MS Driven Protein Interaction Networks	10
PXD012661	2019-02-11	RNA-bound proteome of Mycobacterium bovis	10
PXD012754	2019-02-18	Ageing Mouse Skin LC-MSMS, NaCl extraction	10
PXD011296	2019-05-22	High-density chemical cross-linking for modeling protein interactions	10
PXD020759	2020-08-06	Quantitative interactomics of Lck-TurboID in living human T cells unveils T cell receptor stimulation-induced proximal Lck interactors	10
PXD021622	2020-09-22	Mapping glycan-mediated galectin-3 interactions by live cell proximity labeling	10
PXD021007	2020-08-19	Phomopsis amygdala fusicoccadiene synthase	10
PXD024168	2021-02-15	Identification of indisulam-mediated DCAF15 interacting proteins by TurboID and shotgun proteomics	10
PXD025620	2021-04-26	Amyloid-beta Citrullination in Alzheimer's Disease	10
PXD029296	2021-10-22	Exploring the mechanism of action of Canmei formula against colorectal adenoma through multi-omics technique	10
PXD013032	2019-03-11	Identification of Siglec-E-ligand candidates on BCL-1 mouse B cell line by proximity labeling	10
PXD002392	2015-06-18	Dithiothreitol (DTT) acts as a specific, UV-inducible cross-linker in elucidation of protein-RNA interactions	10
PXD018313	2020-04-01	Vigilin/HDLBP promotes translation of endoplasmic reticulum-targeted mRNAs	10
PXD035265	2022-07-11	A genetically-encoded photo-proximity labeling approach for mapping protein territories	10
PXD025796	2021-05-05	Quantitative Analysis of Samples Labeled with Multiplex iqPIR Cross-Linkers	10
PXD039754	2023-02-01	RNxQuest: an extension to the xQuest pipeline enabling analysis of protein-RNA cross-linking/mass spectrometry data	10
PXD035404	2022-07-20	Generation of Nomo-1 cell surfaceome database	10
PXD044643	2023-08-18	Targeted RNase H-mediated Extraction of crosslinked RBPs (TREX) for assessing U1 RNA interactome	10
PXD042118	2023-05-10	Bacteroidota assemble a unique type VI secretion system membrane complex	10
PXD040991	2023-03-21	mu-crystallin interactome in vivo	10
PXD028462	2021-09-14	Identifying global and mtCU independent MICU1 interactome utilizing BioID2 based proximity labeling and screening	10
PXD026979	2021-06-29	Dynamics of different mGBP as revealed by computational and experimental methods	10
PXD032398	2022-03-18	For origin melting Rep nucleoprotein complex accommodates both dsDNA and ssDNA of DUE	10
PXD045997	2023-10-09	Lysinoalanine crosslinking is a conserved post-translational modification in the spirochete flagellar hookLysinoalanine crosslinking is a conserved post-translational modification in the spirochete flagellar hook	10
PXD041203	2023-03-30	Murine podocyte mitochondrial complexsome analysis	10
PXD050097	2024-02-24	BS3 crosslinking of the Anaphase-Promoting Complex/Cyclosome (APC/C)	10
PXD046414	2023-10-26	Leveraging a self-cleaving peptide for tailored control in proximity labeling proteomics	10
PXD046413	2023-10-26	Leveraging a self-cleaving peptide for tailored control in proximity labeling proteomics	10
PXD042343	2023-05-18	Secretome profile of living constructs assembled from cell-to-cell crosslinking of human adipose tissue-derived mesenchymal stromal cells	10
PXD044921	2023-08-29	A genome-wide CRISPR interference screen using an engineered trafficking biosensor  reveals a role for DNAJC13 in opioid receptor downregulation	10
PXD055943	2024-09-17	Combining quantitative proteomics and interactomics for a deeper insight into molecular differences between human cell lines	10
PXD053197	2024-06-18	PLK1-Mediated Phosphorylation Cascade Activates Mis18 Complex to Ensure Centromere Inheritance	10
PXD053579	2024-07-02	Protein misfolding involving entanglements provides a structural explanation for the origin of stretched-exponential refolding kinetics	10
PXD052138	2024-05-09	SARS-CoV-2 Nsp2 recruits GIGYF2 near viral replication sites and supports viral protein production	10
PXD055795	2024-09-12	A newly identified class of protein misfolding is observed in all-atom folding simulations and supported by experimental structural ensembles	10
PXD025208	2021-04-06	BioID-screening identifies PEAK1 and SHP2 as components of the Alk “proximitome” in neuroblastoma cells	10
PXD053452	2024-06-27	BioID of the proteins CGP and FRM1 from Toxoplasma gondii	10
PXD059083	2024-12-20	Meta-unstable mRNAs in activated CD8+ T cells are defined by interlinked AU-rich elements and m6A mRNA methylation	10
PXD013215	2019-03-25	APEX2-mediated proximity labeling of mitochondrial matrix and chromatin in budding yeast	9
PXD008680	2018-01-15	U2OS Adhesion Isolations +/- CytochalasinD and Neomycin	9
PXD003678	2016-02-23	Dam1 complex-microtubule interaction	9
PXD011185	2018-09-25	Proteomic dynamic changes in HDL subfractions from mouse plasma	9
PXD002142	2015-05-05	Quantitative cross-linking/mass spectrometry	9
PXD003282	2015-12-07	Clamping down on transcription: repression of archaeal RNAP by the novel viral regulator RIP	9
PXD004107	2016-05-05	A model dataset for quantitative cross-linking/mass spectrometry using isotope-labeled cross-linkers	9
PXD004898	2016-08-25	Cross-linking of mouse laminin 111	9
PXD008941	2018-02-13	XLinkProphet Shotgun XL-MS - 9 Standard Protein Shotgun, ReACT, and Mango Search Results	9
PXD008951	2018-02-14	XLinkProphet Mango XL-MS - 9 Standard Protein Shotgun, ReACT, and Mango Search Results	9
PXD009001	2018-02-21	XLinkProphet ReACT XL-MS -  Increased sensitivity with automated validation of XL-MS cleavable peptide crosslinks	9
PXD009526	2018-04-17	Conformational control and DNA binding mechanism of the metazoan origin recognition complex	9
PXD015162	2019-08-27	Analysis of the global nuclear proteome and of the nuclear proteome of FAMA-expressing cells in seedlings of Arabidopsis thaliana using TurboID	9
PXD016241	2019-11-12	Identifying nucleic acid-associated proteins in Mycobacterium smegmatis by mass spectrometry-based proteomics	9
PXD018265	2020-03-30	The ShcA adapter protein cooperates with LPP to mediate adhesion dynamics and invadopodia formation	9
PXD014337	2019-06-21	A synthetic crosslinked peptide library for benchmarking crosslinking mass spectrometry search engines	9
PXD009159	2021-07-12	Phosphoproteomics Identifies Dual-Site Phosphorylation in an Extended Basophilic Motif Regulating FILIP1-mediated Degradation of filamin-C FLNc d18-21 BioID experiment	9
PXD027998	2021-09-28	Proximity labeling identifies LOTUS domain proteins that promote the formation of perinuclear germ granules in C. elegans	9
PXD023221	2020-12-18	Dual FAN1 activities stabilize the HTT CAG repeat	9
